# messageDelay  cumulativeProbability
0.2000 0.0054
0.2000 0.0108
0.3000 0.0162
0.4000 0.0216
0.5000 0.0270
0.6000 0.0324
0.6000 0.0378
0.8000 0.0432
0.9000 0.0486
2.7000 0.0541
4.6000 0.0595
15.5000 0.0649
17.0000 0.0703
30.3000 0.0757
36.6000 0.0811
43.1000 0.0865
59.5000 0.0919
64.7000 0.0973
71.9000 0.1027
75.0000 0.1081
77.1000 0.1135
81.6000 0.1189
82.6000 0.1243
84.2000 0.1297
94.3000 0.1351
120.7000 0.1405
134.5000 0.1459
143.8000 0.1514
151.6000 0.1568
156.5000 0.1622
158.2000 0.1676
173.5000 0.1730
173.9000 0.1784
183.7000 0.1838
184.8000 0.1892
190.9000 0.1946
199.3000 0.2000
231.1000 0.2054
236.4000 0.2108
243.4000 0.2162
250.5000 0.2216
260.8000 0.2270
265.8000 0.2324
282.9000 0.2378
287.5000 0.2432
294.2000 0.2486
295.7000 0.2541
301.0000 0.2595
302.9000 0.2649
305.2000 0.2703
331.5000 0.2757
331.7000 0.2811
348.3000 0.2865
352.3000 0.2919
380.6000 0.2973
382.2000 0.3027
406.5000 0.3081
413.6000 0.3135
425.3000 0.3189
429.3000 0.3243
434.2000 0.3297
448.5000 0.3351
458.0000 0.3405
458.3000 0.3459
471.2000 0.3514
489.4000 0.3568
492.2000 0.3622
492.8000 0.3676
495.5000 0.3730
504.6000 0.3784
506.4000 0.3838
515.3000 0.3892
532.6000 0.3946
550.8000 0.4000
559.2000 0.4054
562.0000 0.4108
567.1000 0.4162
571.2000 0.4216
576.3000 0.4270
578.4000 0.4324
580.0000 0.4378
584.5000 0.4432
589.2000 0.4486
599.1000 0.4541
611.5000 0.4595
612.8000 0.4649
612.8000 0.4703
614.1000 0.4757
622.5000 0.4811
628.8000 0.4865
637.4000 0.4919
655.0000 0.4973
656.4000 0.5027
676.9000 0.5081
677.9000 0.5135
679.2000 0.5189
683.0000 0.5243
694.9000 0.5297
699.5000 0.5351
705.5000 0.5405
706.4000 0.5459
718.9000 0.5514
731.3000 0.5568
739.8000 0.5622
746.7000 0.5676
748.4000 0.5730
749.6000 0.5784
751.6000 0.5838
751.8000 0.5892
767.0000 0.5946
782.0000 0.6000
784.6000 0.6054
785.3000 0.6108
806.0000 0.6162
806.8000 0.6216
824.3000 0.6270
824.4000 0.6324
827.0000 0.6378
832.3000 0.6432
833.4000 0.6486
835.2000 0.6541
839.2000 0.6595
840.7000 0.6649
850.1000 0.6703
856.7000 0.6757
862.1000 0.6811
865.7000 0.6865
866.5000 0.6919
922.3000 0.6973
930.5000 0.7027
933.8000 0.7081
961.9000 0.7135
968.2000 0.7189
989.6000 0.7243
1015.3000 0.7297
1039.6000 0.7351
1043.6000 0.7405
1049.8000 0.7459
1061.7000 0.7514
1067.6000 0.7568
1069.6000 0.7622
1070.0000 0.7676
1107.7000 0.7730
1138.6000 0.7784
1255.7000 0.7838
1260.5000 0.7892
